"","product_id","price","retail_price","merchant_id","merchant_rating","merchant_rating_count","origin_country","inventory_total","countries_shipped_to","shipping_option_name","shipping_option_price","product_color","product_variation_size_id","product_variation_inventory","rating","rating_count","rating_one_count","rating_two_count","rating_three_count","rating_four_count","rating_five_count","units_sold","tags"
"1","5e9ae51d43d6a96e303acdb0",16,14,"595097d6a26f6e070cb878d1",4.12852112676056,568,"CN",50,34,"Livraison standard",4,"white","M",50,3.76,54,9,1,10,8,26,100,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset"
"2","58940d436a0d3d5da4e95a38",8,22,"56458aa03a698c35c9050988",3.89967327625056,17752,"CN",50,41,"Livraison standard",2,"green","XS",50,3.45,6135,1077,644,1118,1027,2269,20000,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual"
"3","5ea10e2c617580260d55310a",8,43,"5d464a1ffdf7bc44ee933c65",3.98983050847458,295,"CN",50,36,"Livraison standard",3,"leopardprint","XS",1,3.57,14,3,0,2,4,5,100,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono"
"4","5cedf17ad1d44c52c59e4aca",8,8,"58cfdefdacb37b556efdff7c",4.02043470963411,23832,"CN",50,41,"Livraison standard",2,"black","M",50,4.03,579,36,42,87,119,295,5000,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt"
"5","5ebf5819ebac372b070b0e70",2.72,3,"5ab3b592c3911a095ad5dadb",4.00158817842839,14482,"CN",50,35,"Livraison standard",1,"yellow","S",1,3.1,20,6,2,2,4,6,100,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women"
"6","5ec645bafd107a02279c8c54",3.92,9,"5e4b9c3801ba9d210036fc5a",3.50769230769231,65,"CN",50,40,"Livraison standard",1,"navyblue","Size-XS",1,5,1,0,0,0,0,1,10,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit"
"7","5c63a337d5e2ce4bbb3152cf",7,6,"5652f4053a698c76dc9a3f37",4.07651559741024,10194,"CN",50,31,"Livraison standard",2,"white","XS",50,3.84,6742,757,490,971,1352,3172,50000,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt"
"8","5e0ae5ebc2efb76ccf0a3391",12,11,"5d45349676befe65691dcfbb",3.6812865497076,342,"CN",50,139,"Livraison standard",3,"blue","M.",50,3.76,286,31,18,61,56,120,1000,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre"
"9","5e6f1fb7fe4a5bb4b8bf36e5",11,84,"5d42980e8388970d32294ddc",3.8030303030303,330,"CN",50,36,"Livraison standard",2,"black","M",50,3.47,15,3,1,3,2,6,100,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual"
"10","5ccfaf238a8d535cec2dfb47",5.78,22,"5ba2251b4315d12ebce873fa",3.99981929887965,5534,"CN",50,33,"Livraison standard",2,"beige","S",50,3.6,687,112,68,92,128,287,5000,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed"
"11","5cac5af68de7960d89e54fe0",5.79,5,"5952a218e81e8a4c30b5bbbc",3.95681098204857,9470,"CN",50,25,"Livraison standard",2,"grey","XXS",2,3.46,613,125,61,81,101,245,1000,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless"
"12","5ec49d527d7044ccfa3f1c04",6,8,"56cd27b048e91e13aa3986e4",3.98378378378378,3515,"CN",50,40,"Livraison standard",2,"lightblue","XS",2,3.31,13,3,0,3,4,3,100,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops"
"13","5e9da39dc737cf255eddd4bf",1.91,6,"5d3c419de4b65d4fb81e7286",4.12387791741472,557,"CN",50,38,"Envio Padrão",1,"orange","XS",1,3.45,141,25,14,24,29,49,1000,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal"
"14","5d1db3c0e2b5cc0f74e091af",5.79,42,"566eaa533a698c6442549a74",3.94747196537478,5083,"CN",50,43,"Livraison standard",2,"red","S",50,3.32,121,19,19,23,24,36,1000,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless"
"15","5cc2ce18bc97595b6549fa14",2,2,"5926c5ace8ff5525241b368d",4.13888538532226,55499,"CN",50,36,"Livraison standard",1,"yellow","S",1,3.65,2457,327,206,459,481,984,20000,"Summer,Fashion,Mini,Dress,Loose,Polkas,V-neck,Tops,Women's Fashion,black,polka dot,sleeveless,backless,Casual,Women Fashion"
"16","5c85d47641ec3b55d4d14f79",11,81,"566012f6769a5629aefca555",4.06632640105635,39381,"CN",50,41,"Livraison standard",3,"Black","S",50,3.92,426,45,21,62,94,204,1000,"Summer,Plus Size,Shirt,Sleeve,cute,Long Sleeve,flare,Tops,topsamptshirt,Women's Fashion,Clothes for women,cuteshirt,Fashion,long sleeve t shirt,solidcolorshirt,Summer Fashion,loose t-shirt,T Shirts"
"17","5cd3e795ebe403118bbc0f89",11,10,"5b8beef49996c87b299cdbec",3.95842589654078,6302,"CN",50,34,"Livraison standard",2,"red","L",50,3.72,2058,239,158,386,435,840,10000,"Summer,fashion women,Fashion,Mini,Dresses,Tops,Polkas,V-neck,Mini dress,Women's Fashion,Party Dress,backless,party,Sexy Dress,Dress,sleeveless,polka dot,Casual,casual dress"
"18","5b07a7c6e997b33c6f9947da",5,25,"5708773c3c02161b3f8c7900",3.93358137664035,139223,"CN",50,41,"Livraison standard",1,"white","S",50,3.83,17980,1846,1410,2951,3483,8290,100000,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion"
"19","5a8f82375e2ae101c8913122",9,9,"59cdc2112351344fc0dfa54f",4.08162433790574,22089,"CN",50,43,"Livraison standard",3,"blue","S",50,3.82,5479,577,431,853,1162,2456,20000,"Summer,Fashion,tunic,Women Vest,Tank,Tops,topsamptshirt,tank top,doublelayer,Women's Fashion,backless,sexy,Ladies,sleeveless,Casual,Women"
"20","5cf648ce373ac2069fd6317d",7,7,"5ae296b6cd968d66be12d247",4.06236080178174,3592,"CN",50,41,"Livraison standard",2,"red","S",7,3.67,214,25,17,49,36,87,1000,"blouse,Summer,Vest,Plus Size,Tank,zippers,Tops,Slim Fit,tank top,Women's Fashion,V-neck,topsampblouse,sleeveless,women top,slim,Casual"
"21","57416238fc6f7d5d698f3c9f",11,10,"5576bb43de4a8c24953ae98f",4.25659706044305,23609,"CN",50,69,"Livraison standard",3,"green","S",50,3.84,1183,106,81,216,274,506,5000,"Fashion,Floral print,Tops,sexy bikini,Swimwear,Swimsuit,padded,Bikini,sexy,Women,Women's Fashion,Swimming"
"22","5c244b73e6a1c618296f73db",5,6,"55ed5a3362e273427107759e",3.9813366374971,12913,"CN",50,41,"Livraison standard",2,"black","S",11,3.6,3552,515,358,610,632,1437,20000,"Summer,Vest,Fashion,Tank,Lace,Tops,slim,Women's Fashion,tank top,T Shirts,Lace Up,topsamptee,sexy,sleeveless,Women,Women Fashion,Cotton"
"23","5e1056784fff5f26e6f1745d",11,26,"5ae93337d204cc177313f242",4.23184233835252,4516,"CN",50,51,"Livraison standard",2,"armygreen","S",2,3.38,72,15,8,11,11,27,1000,"Women Vest,Vest,Fashion,buttontop,camisole,Summer,Spaghetti Strap,tank top,Women's Fashion,Plus Size,Design,V-neck,sleeveless,sexy,Spaghetti,summer tops,Cotton,Tank,Tops,Casual,Cotton Vest,Women,sleevelesstshirt,Casual Tops,Holiday,Beach,button"
"24","5d15731024c17f6b8b9bd97a",7,6,"5cb636dda7173671aedef051",4.2646585018278,96838,"CN",50,138,"Livraison standard",2,"armygreen","M",50,3.67,510,69,45,85,98,213,5000,"blouse,Summer,Shorts,Sleeve,fashiontee,Tops,slim,short sleeves,Pullovers,Women's Fashion,Plus Size,Summer Fashion,Cotton,Fashion,Casual,T Shirts,Women"
"25","5c63adf7edc5d6528e8b1ca3",5.71,5,"583138b06339b410ab9663ec",4.00669222029391,80093,"CN",50,43,"Livraison standard",2,"black","XXS",19,3.75,678,78,61,104,145,290,1000,"Summer,Vest,Fashion,Tank,Shirt,backless top,summer shirt,topsamptshirt,tank top,Ladies,Sleeveless Shirt,backless,V-neck,solid color,sexy,summervest,Tops,Women Fashion,Ladies Fashion"
"26","5bed2a42bdf0421a30e62c6c",9,32,"575cfe470551415caa5505b5",4.11005854177754,9395,"CN",50,41,"Livraison standard",3,"armygreen","M",50,4.15,567,42,28,58,116,323,1000,"Summer,Vest,Fashion,Tank,Slim T-shirt,camouflage,Tops,camouflagevest,tank top,Cool T-Shirts,Women's Fashion,sleeveless tops,Women,Casual T-Shirt,Casual Tops,Military,Casual,sleeveless,t"
"27","5b5edbae1e222732845e655f",9,9,"5a0fe8770a332a615df86c5e",4.22940902745463,4298,"US",50,60,"Livraison standard",3,"","M",5,4.03,216,12,12,39,48,105,1000,"Summer,midsleevebeachblouse,summerswimsuit,womensummerswimwear,crochet,Cover,womenbeachblouse,Swimsuit,Bikini,beachblouse,Swimwear,bikinibeachcoverup,Women,women fashion dress,women bathing suit,budsilkblouse,Suits,Women's Fashion,Lace"
"28","5a4f2d8f5dcd0221008b2c36",5.65,5,"56c6f731bc435416ed5984d7",4.01748772683975,40943,"CN",50,43,"Livraison standard",2,"white","S",50,4.29,2996,109,104,374,628,1781,20000,"Women Vest,Vest,Fashion,yoga top,low cut,Women's Fashion,off shoulder,sportwear,sleeveless,sexy,Casual,sexyvest,knitted,Tank,Shirt,Tops,Slim Fit,beach wear,soildcolor,Women,Print,Lace Up,Cotton,tank top"
"29","5e5e09065b03ef0b420f333f",1.74,2,"58ba636a69ad29505a730852",3.83151394861616,18138,"CN",50,41,"Livraison standard",1,"pink","XS",50,4.25,12,1,0,1,3,7,100,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white"
